code,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,state;code,totalprod,stocks,priceperlb,year,state
AL,16000,71,1136000,159000,0.72,818000,1998,Alabama;AL,1136000,159000,0.72,1998,Alabama
AZ,55000,60,3300000,1485000,0.64,2112000,1998,Arizona;AZ,3300000,1485000,0.64,Arizona
AR,53000,65,3445000,1688000,0.59,2033000,1998,Arkansas;AR,3445000,1688000,0.59,Arkansas
CA,450000,83,37350000,12326000,0.62,23157000,1998,California;CA,37350000,12326000,0.62,California
CO,27000,72,1944000,1594000,0.7,1361000,1998,Colorado;CO,1944000,1594000,0.7,Colorado
FL,230000,98,22540000,4508000,0.64,14426000,1998,Florida;FL,22540000,4508000,0.64,Florida
GA,75000,56,4200000,307000,0.69,2898000,1998,Georgia;GA,4200000,307000,0.69,Georgia
HI,8000,118,944000,66000,0.77,727000,1998,Hawaii;HI,944000,66000,0.77,Hawaii
ID,120000,50,6000000,2220000,0.65,3900000,1998,Idaho;ID,6000000,2220000,0.65,Idaho
IL,9000,71,639000,204000,1.19,760000,1998,Illinois;IL,639000,204000,1.19,Illinois
IN,9000,92,828000,489000,0.85,704000,1998,Indiana;IN,828000,489000,0.85,Indiana
IA,50000,78,3900000,2301000,0.7,2730000,1998,Iowa;IA,3900000,2301000,0.7,Iowa
KS,16000,46,736000,390000,0.87,640000,1998,Kansas;KS,736000,390000,0.87,Kansas
KY,3000,50,150000,51000,1.4,210000,1998,Kentucky;KY,150000,51000,1.4,Kentucky
LA,41000,111,4551000,865000,0.59,2685000,1998,Louisiana;LA,4551000,865000,0.59,Louisiana
ME,10000,26,260000,117000,0.69,179000,1998,Maine;ME,260000,117000,0.69,Maine
MD,7000,44,308000,92000,1.1,339000,1998,Maryland;MD,308000,92000,1.1,Maryland
MI,80000,85,6800000,3672000,0.66,4488000,1998,Michigan;MI,6800000,3672000,0.66,Michigan
MN,140000,79,11060000,2765000,0.65,7189000,1998,Minnesota;MN,11060000,2765000,0.65,Minnesota
MS,18000,86,1548000,898000,0.58,898000,1998,Mississippi;MS,1548000,898000,0.58,Mississippi
MO,23000,66,1518000,455000,0.76,1154000,1998,Missouri;MO,1518000,455000,0.76,Missouri
MT,115000,122,14030000,5472000,0.64,8979000,1998,Montana;MT,14030000,5472000,0.64,Montana
NE,64000,70,4480000,2240000,0.86,3853000,1998,Nebraska;NE,4480000,2240000,0.86,Nebraska
NV,10000,46,460000,175000,1.65,759000,1998,Nevada;NV,460000,175000,1.65,Nevada
NJ,11000,49,539000,167000,0.76,410000,1998,New Jersey;NJ,539000,167000,0.76,New Jersey
NM,14000,55,770000,470000,0.76,585000,1998,New Mexico;NM,770000,470000,0.76,New Mexico
NY,65000,80,5200000,2444000,0.7,3640000,1998,New York;NY,5200000,2444000,0.7,New York
NC,8000,59,472000,151000,1.38,651000,1998,North Carolina;NC,472000,151000,1.38,North Carolina
